date,open,high,low,close,volume
2014-10-02,1984.43,1985.06,1966.17,1976.16,322656
2014-10-06,1987.89,1988.39,1968.30,1968.39,325078
2014-10-07,1979.83,1982.96,1966.22,1972.91,328234
2014-10-08,1957.90,1974.27,1957.90,1965.25,266180
2014-10-10,1953.98,1953.98,1931.88,1940.92,342823
2014-10-13,1919.48,1932.37,1918.48,1927.21,308918
2014-10-14,1933.45,1940.21,1926.87,1929.25,335506
2014-10-15,1932.11,1938.85,1918.77,1925.91,310342
2014-10-16,1911.45,1922.94,1904.77,1918.83,313611
2014-10-17,1923.51,1923.51,1896.54,1900.66,362078
2014-10-20,1918.84,1933.12,1917.54,1930.06,344669
2014-10-21,1923.62,1923.62,1911.03,1915.28,405921
2014-10-22,1936.91,1936.99,1924.21,1936.97,399095
2014-10-23,1932.43,1944.45,1924.14,1931.65,372833
2014-10-24,1942.46,1942.72,1916.84,1925.69,419428
2014-10-27,1933.91,1939.25,1929.26,1931.97,408840
2014-10-28,1935.46,1936.28,1924.37,1925.68,414616
2014-10-29,1938.80,1961.49,1931.59,1961.17,396615
2014-10-30,1956.92,1959.49,1944.24,1958.93,311049
2014-10-31,1963.26,1967.08,1951.07,1964.43,349405
2014-11-03,1959.66,1961.04,1947.83,1952.97,344497
2014-11-04,1950.15,1956.73,1928.52,1935.19,391713
2014-11-05,1938.61,1944.50,1928.99,1931.43,332277
2014-11-06,1933.45,1939.32,1923.05,1936.48,360571
2014-11-07,1935.75,1943.26,1932.17,1939.87,255424
2014-11-10,1952.79,1965.35,1952.79,1958.23,313262
2014-11-11,1957.87,1965.41,1956.23,1963.00,311396
2014-11-12,1965.21,1974.69,1961.66,1967.27,348499
2014-11-13,1970.64,1973.33,1954.88,1960.51,332595
2014-11-14,1959.64,1959.64,1940.49,1945.14,314797
2014-11-17,1941.83,1948.33,1935.95,1943.63,277521
2014-11-18,1951.93,1967.01,1951.93,1967.01,251273
2014-11-19,1974.41,1974.41,1959.21,1966.87,279559
2014-11-20,1960.72,1962.69,1952.44,1958.04,339217
2014-11-21,1966.89,1969.43,1959.81,1964.84,345924
2014-11-24,1982.48,1985.18,1974.37,1978.54,325448
2014-11-25,1981.52,1981.85,1973.80,1980.21,283188
2014-11-26,1984.83,1985.43,1972.95,1980.84,253288
2014-11-27,1993.65,1994.82,1982.08,1982.09,295509
2014-11-28,1983.22,1984.73,1975.66,1980.78,340696
2014-12-01,1971.95,1971.97,1962.15,1965.22,333977
2014-12-02,1959.40,1965.83,1954.40,1965.83,317912
2014-12-03,1969.57,1973.96,1964.77,1969.91,271112
2014-12-04,1976.30,1988.56,1976.10,1986.61,244390
2014-12-05,1986.60,1989.17,1983.36,1986.62,305548
2014-12-08,1988.80,1990.04,1976.89,1978.95,295139
2014-12-09,1977.05,1977.15,1968.85,1970.95,541162
2014-12-10,1964.04,1966.11,1943.27,1945.56,367890
2014-12-11,1930.46,1937.23,1916.49,1916.59,343635
2014-12-12,1921.61,1926.67,1915.00,1921.71,363470
2014-12-15,1903.12,1920.43,1899.61,1920.36,294421
2014-12-16,1909.01,1919.60,1901.13,1904.13,369417
2014-12-17,1913.28,1913.28,1900.16,1900.16,307269
2014-12-18,1917.67,1919.24,1881.73,1897.50,337298
2014-12-19,1920.75,1930.08,1914.27,1929.98,291792
2014-12-22,1938.16,1944.20,1928.89,1943.12,324535
2014-12-23,1942.12,1944.75,1936.75,1939.02,300797
2014-12-24,1940.76,1947.35,1936.74,1946.61,283866
2014-12-26,1947.60,1954.77,1944.22,1948.16,297006
2014-12-29,1937.27,1941.33,1927.83,1927.86,265809
2014-12-30,1934.51,1937.55,1910.78,1915.59,256437
2015-01-02,1914.24,1929.15,1909.67,1926.44,258776
2015-01-05,1921.96,1921.96,1903.37,1915.75,313443
2015-01-06,1895.48,1900.02,1877.38,1882.45,303688
2015-01-07,1878.90,1887.60,1876.27,1883.83,280510
2015-01-08,1895.85,1907.23,1891.77,1904.65,262207
2015-01-09,1919.80,1929.10,1915.85,1924.70,308781
2015-01-12,1918.18,1924.66,1917.88,1920.95,311915
2015-01-13,1915.03,1920.77,1910.27,1917.14,338989
2015-01-14,1919.31,1925.68,1913.51,1913.66,297517
2015-01-15,1914.06,1919.69,1908.60,1914.14,266544
2015-01-16,1907.07,1907.07,1885.62,1888.13,298733
2015-01-19,1902.81,1912.42,1900.26,1902.62,281120
2015-01-20,1908.62,1918.85,1907.97,1918.31,280895
2015-01-21,1917.33,1921.88,1909.86,1921.23,300843
2015-01-22,1926.01,1932.50,1916.56,1920.82,343132
2015-01-23,1945.36,1945.36,1930.65,1936.09,367702
2015-01-26,1928.26,1936.40,1924.14,1935.68,330607
2015-01-27,1941.90,1952.41,1940.72,1952.40,466962
2015-01-28,1946.71,1963.53,1943.59,1961.58,400930
2015-01-29,1950.83,1960.12,1946.20,1951.02,391034
2015-01-30,1964.13,1964.13,1948.60,1949.26,441477
2015-02-02,1947.91,1956.10,1944.58,1952.68,364831
2015-02-03,1960.11,1960.35,1940.74,1951.96,369978
2015-02-04,1963.37,1970.27,1961.57,1962.79,348032
2015-02-05,1961.15,1962.15,1945.42,1952.84,395653
2015-02-06,1955.13,1955.52,1945.82,1955.52,309818
2015-02-09,1949.50,1952.86,1944.79,1947.00,310182
2015-02-10,1949.30,1954.20,1935.86,1935.86,329203
2015-02-11,1942.34,1948.89,1937.95,1945.70,307454
2015-02-12,1947.21,1947.47,1932.75,1941.63,334825
2015-02-13,1949.32,1957.50,1946.94,1957.50,351080
2015-02-16,1960.03,1963.44,1955.39,1958.23,350944
2015-02-17,1955.77,1962.97,1952.33,1961.45,304531
2015-02-23,1974.44,1976.96,1966.77,1968.39,347581
2015-02-24,1975.65,1980.38,1972.61,1976.12,309544
2015-02-25,1988.47,1992.03,1984.53,1990.47,369498
2015-02-26,1993.27,1993.43,1983.94,1993.08,385656
2015-02-27,1992.76,1993.34,1982.50,1985.80,424548
2015-03-02,1996.72,1999.13,1988.33,1996.81,373366
2015-03-03,2002.50,2003.05,1995.93,2001.38,444865
2015-03-04,2001.76,2003.85,1996.50,1998.29,374540
2015-03-05,1996.81,2002.48,1993.92,1998.38,373683
2015-03-06,2003.97,2013.73,2003.18,2012.94,393347
2015-03-09,2004.94,2005.81,1990.87,1992.82,296747
2015-03-10,2000.66,2003.19,1982.22,1984.77,433405
2015-03-11,1971.04,1984.60,1969.13,1980.83,399532
2015-03-12,1979.22,1988.77,1970.59,1970.59,384041
2015-03-13,1987.17,1991.87,1982.96,1985.79,326707
2015-03-16,1985.59,1991.79,1982.26,1987.33,319163
2015-03-17,1998.26,2029.91,1997.27,2029.91,356554
2015-03-18,2032.19,2036.13,2026.72,2028.45,362009
2015-03-19,2047.13,2047.13,2031.07,2037.89,468284
2015-03-20,2037.13,2040.00,2027.81,2037.24,351732
2015-03-23,2043.22,2043.92,2032.35,2036.59,314897
2015-03-24,2035.08,2041.77,2028.54,2041.37,328834
2015-03-25,2043.16,2046.97,2038.14,2042.81,423409
2015-03-26,2027.20,2036.70,2019.51,2022.56,342261
2015-03-27,2026.75,2027.25,2016.88,2019.80,448964
2015-03-30,2026.60,2033.27,2018.12,2030.04,439556
2015-03-31,2042.31,2046.90,2032.24,2041.03,555933
2015-04-01,2035.40,2039.04,2024.64,2028.45,542801
2015-04-02,2036.90,2040.45,2028.22,2029.07,655864
2015-04-03,2035.83,2045.94,2031.27,2045.42,498636
